nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
TFIT10260331;15000000000;11032110000;71.457;12.56;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16240724;27000000000;29177982000;98.368;10.93;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT15260826;12000000000;11071668000;85.668;12.105;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BBPO822SB003;102000000;96419580;93.64;13.3;TRD;20220310;20250310;TV;10.2;BPO;BANCO POPULAR S.A.
BBCB02109D15;500000000;490210000;95.057;16.579;TRD;20110727;20260727;TV;4.6;BCB;BANCOLOMBIA S.A.
BDVI1059C120;2000000000;1958980000;95.553;16.524;TRD;20151110;20251110;TV;4.5;DVI;BANCO DAVIVIENDA S.A
TUVT17230223;14400000;4605633262;101.234;2.68;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT17230223;34700000;11098296426;101.234;2.68;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT17230223;18400000;5884975800;101.234;2.68;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT17230223;100000;31983594;101.234;2.68;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT17230223;40000000;12816515541;101.42;2.38;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BGLT30260244;5000000;16999413919;71.3;8.743;TRD;20140226;20440226;SV;5.625;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BGLT21220242;5000000;14771662126;62.205;8.124;TRD;20210422;20420222;SV;4.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BCCB04169C10;500000000;454005000;90.801;18.027;TRD;20160413;20260413;TV;4.19;CCB;CEMENTOS ARGOS S.A.
TFIT08031127;1000000000;799719000;76.002;12.12;TRD;20191103;20271103;AV;5.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
