nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
TUVT11070525;60000000;17935455679;95.639;5.2;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16240724;1000000000;1074850000;97.759;11.289;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT21280542;5000000000;3663705000;72.083;13.29;TRD;20210528;20420528;AV;9.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BDVI4179C084;4000000000;3879680000;95.781;15.91;TRD;20170607;20240607;TV;3.13;DVI;BANCO DAVIVIENDA S.A
BISG5219C008;300000000;265836000;86.723;16.908;TRD;20210519;20290519;TV;3.35;ISG;ISAGEN S.A. E.S.P.
BISG5219C008;200000000;177224000;86.723;16.908;TRD;20210519;20290519;TV;3.35;ISG;ISAGEN S.A. E.S.P.
TFIT16240724;1000000000;1076300000;97.904;11.204;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BBCB01149D20;924000000;926134583;100.231;15.04;TRD;20140924;20340924;TV;4.79;BCB;BANCOLOMBIA S.A.
BBCB01149D20;924000000;925438668;100.155;15.04;TRD;20140924;20340924;TV;4.79;BCB;BANCOLOMBIA S.A.
TFIT16240724;500000000;537755000;97.825;11.25;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16240724;1000000000;1075530000;97.827;11.249;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BBOC3169B120;2000000000;2075565620;103.778;13.78;TRD;20160610;20260610;TV;4.6;BOC;BANCO DE OCCIDENTE S.A.
BBOC3169B120;2000000000;2074006000;103.7;13.78;TRD;20160610;20260610;TV;4.6;BOC;BANCO DE OCCIDENTE S.A.
TFIT16240724;1000000000;1076360000;97.91;11.2;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16240724;4000000000;4304080000;97.876;11.22;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT10260331;500000000;358438000;69.578;13.03;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT10260331;100000000;72162600;70.053;12.91;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT10260331;1000000000;721626000;70.053;12.91;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT08261125;19000000000;16796152000;84.394;12.15;TRD;20171126;20251126;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
BCCB04169C10;1000000000;921450000;92.107;17.46;TRD;20160413;20260413;TV;4.19;CCB;CEMENTOS ARGOS S.A.
BDVI121SF060;1000000000;797610000;79.079;14.05;TRD;20210907;20260907;TV;6.89;DVI;BANCO DAVIVIENDA S.A
TFIT10260331;3000000000;2154198000;69.697;13;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT17230223;15000000;4804366423;101.339;2.501;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16280428;1000000000;747908000;73.525;12.72;TRD;20120428;20280428;AV;6;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT10260331;5000000000;3604130000;69.973;12.93;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT08261125;1500000000;1326111000;84.469;12.1;TRD;20171126;20251126;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TUVT11070525;10000000;2992346994;95.739;5.16;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
TFIT16240724;2000000000;2151700000;97.859;11.23;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
